# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/m38_p6/gencode.vM25.chr_patch_hapl_scaff.basic.annotation.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//counts/cpid_multireg_control_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000097485.7	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	83197;83416;83417;83832;83832;83832;84020;84020;84020;84513	83522;83522;83522;83922;83932;83932;84480;84208;84152;85032	+;+;+;+;+;+;+;+;+;+	1408	0	0
ENSMUSG00000097096.8	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	86013;86637;87159;88688;88688;88990;88990;89276;89276;90829;90829;91245;91245;91430;91430;92579;92579;92727;92727;93801;93801;94101;94101;94438;94438;94680;94680;95841;95841;96510;96510;96857;96857;97094;97094;97597;97597;97881;97881;98116;98116;98342;98342;98763;98763;99500;99500	86228;87277;87277;88902;88902;89111;89111;89500;89500;91155;91155;91340;91340;91537;91537;92640;92640;92977;92977;93990;93990;94208;94208;94595;94595;94882;94882;96011;96011;96674;96674;97005;97005;97204;97204;97713;97713;98029;98029;98265;98265;98525;98525;98891;98891;99980;99980	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4728	0	0
ENSMUSG00000097319.8	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	100461;100479;101096;101096;101335;101335;101997;101997;104102;104102;107351;107351;111745	100811;100811;101237;101237;101511;101511;102185;102185;104281;104281;107590;107560;111873	-;-;-;-;-;-;-;-;-;-;-;-;-	1408	0	0
ENSMUSG00000097394.4	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	112002;112002;112002;112002;113071;113071;113071;113071;113564;113564;113564;113564;113774;113774;113774;113774;117009;117009;117243;117243;117243;117243;117376;117376;117376;117376	112214;112214;112214;112214;113135;113135;113146;113146;113653;113653;113653;113653;116602;116602;113850;113850;117089;117089;117296;117296;117296;117296;117744;117744;117741;117741	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3712	0	1
ENSMUSG00000097687.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	121437;122128;123121;124563;124788;125217	122029;122275;123230;124706;124818;125623	-;-;-;-;-;-	1433	0	0
ENSMUSG00000097905.3	JH792830.1;JH792830.1	125801;128437	126418;131754	+;+	3936	0	0
ENSMUSG00000097771.8	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	134633;135356;135877;136104;136454;136721;137409;137594;138536;139241;139611	134750;135558;135999;136233;136635;136840;137513;137739;138593;139504;140049	+;+;+;+;+;+;+;+;+;+;+	1888	0	0
ENSMUSG00000097132.3	JH792830.1;JH792830.1	140620;141937	140717;142765	+;+	927	0	0
ENSMUSG00000097721.8	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	140005;143000;143496;143696;143696;143893;143893;144080;144080;144624;144624;144843;144843;145017;145017;145241;145241;145417;145417;147082;147082;148274;148274;148617;148617;148836;148836;149182;149182	143213;143213;143608;143803;143803;143970;143970;144142;144142;144731;144731;144933;144933;145107;145107;145341;145341;145474;145474;147229;147229;148342;148342;148737;148737;148876;148876;149299;149368	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4586	0	0
ENSMUSG00000097064.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	150338;155542;155913;156840;157010;157426;158160;158973;161019;161408	152578;155822;156144;156925;157184;157913;158249;159234;161045;161493	-;-;-;-;-;-;-;-;-;-	3968	0	0
ENSMUSG00000117776.1	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	154756;155913;156840;157010;157851;158160;158639;170844;171366;173956;174958;175227;175420;175878;176678;177033	155822;156144;156925;157184;157913;158249;159234;171087;171520;174325;175072;175333;175527;175977;176849;177061	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3709	0	0
ENSMUSG00000097556.2	JH792830.1;JH792830.1	155580;158598	157755;160298	+;+	3877	0	0
ENSMUSG00000097708.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	170371;170399;170402;171366;171366;173956;173956;174260;174260;174958;174958;174958;175227;175227;175227;175420;175420;175420;175878;175878;175878;176678;176678;176678;177033;177033;177033	171087;171087;171087;171520;171520;174094;174145;174325;174325;175072;175068;175072;175333;175333;175333;175527;175527;175527;175977;175977;175977;176849;176849;176849;177042;177061;177298	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1996	0	0
ENSMUSG00000096994.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	178079;178759;179036;179781;180481;180786;180996	178285;178890;179266;179885;180704;180920;181434	+;+;+;+;+;+;+	1473	0	0
ENSMUSG00000118019.1	JH792830.1;JH792830.1	178123;178709	178275;178796	-;-	241	0	0
ENSMUSG00000097909.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	181210;182195;183127;183353;183491;183685;186286;186479;186943;187343;187497	182096;182396;183264;183417;183600;183794;186385;186593;187071;187413;187650	-;-;-;-;-;-;-;-;-;-;-	2081	0	0
ENSMUSG00000117716.1	JH792830.1;JH792830.1;JH792830.1	187793;188141;188552	187812;188252;189254	+;+;+	835	0	0
ENSMUSG00000097629.3	JH792830.1;JH792830.1;JH792830.1	200252;206192;208088	200514;206358;209504	+;+;+	1847	0	0
ENSMUSG00000118323.1	JH792830.1;JH792830.1;JH792830.1;JH792830.1	200444;218477;218762;219228	200514;218566;218873;219311	+;+;+;+	357	0	0
ENSMUSG00000097512.2	JH792830.1	201416	201502	-	87	0	0
ENSMUSG00000097508.3	JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1;JH792830.1	217913;218000;218452;218477;218477;218762;218762;218762;219228;219228	218202;218202;218566;218566;218566;218873;219099;218873;219648;219645	+;+;+;+;+;+;+;+;+;+	1164	0	0
ENSMUSG00000117997.1	JH792830.1;JH792830.1	240045;243351	240189;243665	-;-	460	0	0
ENSMUSG00000110890.1	KV575237.1;KV575237.1	19515;19592	19589;19891	-;-	375	0	0
ENSMUSG00000111007.1	KV575237.1;KV575237.1;KV575237.1;KV575237.1	65311;68110;85343;88060	67997;68292;86335;88429	-;-;-;-	4233	0	0
ENSMUSG00000110939.2	KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1;KV575237.1	113023;113023;117167;117167;119110;119110;120518;120518;125595;125595;131550;131550;133838;133838;134993;134993;139743;139743;144125;144125;145970;145970;148634;148634	114404;114404;117389;117389;119193;119193;120595;120595;125736;125736;131621;131621;133867;133867;135064;135064;139838;139838;144169;144169;146190;146190;148727;148727	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2539	0	0
ENSMUSG00000111851.2	KV575237.1;KV575237.1	161147;161147	161593;161593	-;-	447	0	0
ENSMUSG00000111099.1	KV575237.1	251699	251821	+	123	0	0
ENSMUSG00000110818.1	KV575237.1	277366	279116	-	1751	0	0
ENSMUSG00000111513.1	KV575237.1	282009	283305	-	1297	0	0
ENSMUSG00000111391.1	KV575237.1;KV575237.1;KV575237.1;KV575237.1	289150;293391;295942;298576	289310;293619;295984;298799	+;+;+;+	657	0	0
ENSMUSG00000110733.1	KV575237.1	298554	299253	-	700	0	0
ENSMUSG00000110975.1	KV575237.1	313660	316519	-	2860	0	0
ENSMUSG00000111255.1	KV575237.1	368433	369587	-	1155	0	0
ENSMUSG00000110979.1	KV575237.1	370933	372065	-	1133	0	0
ENSMUSG00000110775.1	KV575237.1;KV575237.1;KV575237.1	553981;554781;557036	554021;554809;557480	+;+;+	515	0	0
ENSMUSG00000111230.1	KV575237.1	556678	559650	-	2973	0	0
ENSMUSG00000111130.1	KV575237.1	579407	580154	-	748	0	0
ENSMUSG00000111538.1	KV575237.1	606108	608391	-	2284	0	0
ENSMUSG00000111813.1	KV575237.1;KV575237.1;KV575237.1	628704;634264;638564	628948;634348;638719	+;+;+	486	0	0
ENSMUSG00000111185.1	KV575237.1	631304	632277	-	974	0	0
ENSMUSG00000110907.1	KV575237.1	645762	649598	-	3837	0	0
ENSMUSG00000111879.1	KV575237.1	660261	667096	-	6836	0	0
ENSMUSG00000111804.1	KV575237.1	669891	672125	-	2235	0	0
ENSMUSG00000110904.1	KV575237.1	689322	696646	-	7325	0	0
ENSMUSG00000110965.1	KV575237.1	875551	876880	-	1330	0	0
ENSMUSG00000111311.1	KV575237.1	878781	880416	-	1636	0	0
ENSMUSG00000111735.1	KV575237.1	1044088	1046393	-	2306	0	0
ENSMUSG00000111347.1	KV575237.1	1108283	1111145	-	2863	0	0
ENSMUSG00000111170.1	KV575237.1	1112967	1114241	-	1275	0	0
ENSMUSG00000110934.1	KV575237.1	1164055	1166451	-	2397	0	0
ENSMUSG00000111659.1	KV575237.1	1171390	1173549	-	2160	0	0
ENSMUSG00000110743.1	KV575237.1	1208137	1208960	-	824	0	0
ENSMUSG00000111642.1	KV575237.1;KV575237.1	1218147;1219088	1218369;1219305	+;+	441	0	0
ENSMUSG00000103879.3	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	7894;7894;7909;7909;8276;8276;8276;8276;8912;8912;8912;8912;9093;9093;9093;9093;10095;10095;10095;10095;10438;10438;10438;10438;13040;13040;13040;13040;13087;13087;13918;13918;15636;15636;16153;16153;17257;17257	7972;7972;7972;7972;8403;8403;8403;8403;8983;8983;8983;8983;9218;9218;9218;9218;10259;10259;10259;10259;10527;10527;10527;10527;13084;13084;13223;13223;13116;13116;14078;14078;15716;15716;16230;16230;17656;17656	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1564	0	0
ENSMUSG00000104250.2	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	21961;23023;24539;28929;31801;32733;36393;39543;40985;41676;43250;46182;48168	22522;23109;24674;29071;31989;32800;36470;39768;41137;41812;43344;46251;48467	-;-;-;-;-;-;-;-;-;-;-;-;-	2244	0	0
ENSMUSG00000108664.1	KK082442.1;KK082442.1	50312;51696	51228;51741	-;-	963	0	0
ENSMUSG00000108680.1	KK082442.1;KK082442.1;KK082442.1;KK082442.1	50617;50876;51812;52280	50798;50994;51963;56431	+;+;+;+	4605	0	0
ENSMUSG00000102455.5	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	58730;58730;59414;59414;60005;60005;60333;60333;61232;61591;61591;61862;61862;62289;62289	58827;58827;59595;59595;60052;60052;60419;60419;61299;61718;61718;62039;62039;63045;63045	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1546	0	0
ENSMUSG00000102720.5	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	62997;62997;63528;63571;64158;64158;64158;64158;64400;64400;64400;64405;64695;64695;64695;65524;65524;65600;65804;70183	63925;63925;63925;63925;64232;64296;64232;64232;64509;64509;64509;64509;64822;64822;64822;65665;65715;65676;66004;70239	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1756	0	0
ENSMUSG00000102671.5	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	72077;72311;72317;72573;73477;73477;73477;83664;83664	72753;72753;72462;72753;75418;73614;73614;83751;83705	-;-;-;-;-;-;-;-;-	2707	0	0
ENSMUSG00000103205.1	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	88506;88511;91545;91545;93757	88936;88936;93194;91703;93986	-;-;-;-;-	2311	0	0
ENSMUSG00000103019.2	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	117591;117955;121138;121584;125699;127217;129069;129644;130325;131181;131741;132080;132416;132727;133250	117732;118125;121296;121749;125777;127323;129232;129909;130456;131332;131910;132210;132563;132922;133995	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2929	0	0
ENSMUSG00000104463.2	KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1;KK082442.1	136082;136082;137828;138264;138264;138489;138489;138489;139094;139094;139094;139480;139480;139480;139700;139700;139700;140278;140278;140278;140654;140654;140654;142629;142629;142629	137678;138397;138022;138397;138397;138671;138671;138671;139312;139312;139312;139623;139623;139623;139812;139812;139812;140400;140400;140400;140731;140731;140731;142839;142841;142839	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3389	0	0
ENSMUSG00000108706.1	KK082442.1	142334	143893	+	1560	0	0
ENSMUSG00000110974.1	KV575240.1	25119	26786	+	1668	0	0
ENSMUSG00000111134.1	KV575240.1;KV575240.1;KV575240.1	25332;25708;25786	25665;26250;25859	-;-;-	877	0	0
ENSMUSG00000111607.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1	29627;33789;34300;42772	29667;33913;37668;43820	+;+;+;+	4584	0	0
ENSMUSG00000111206.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	44713;44713;46590;47947;47947;48214;48214	44802;44802;46898;48107;48107;48804;48802	+;+;+;+;+;+;+	1151	0	0
ENSMUSG00000111773.2	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	50234;50235;50685;50685;53014;53014;69202;71444;71444;71444;72037;72037;72037;72158;72158;72158;72354;72354;72354;72702;72702;72702;72957;72957;72957;73390;73390;73390;73637;73637;73637;73985;73985;73985;74227;74227;74227;74538;74538;74538;75081;75081;75081;75393;75393;75495;76011;76011;76011	50387;50387;50737;50737;53219;53219;69419;71635;71635;71635;72073;72073;72073;72228;72228;72228;72406;72406;72406;72814;72814;72814;73050;73050;73050;73550;73550;73550;73735;73735;73735;74149;74149;74149;74326;74326;74326;74692;74692;74692;75203;75203;75203;75575;75575;75575;77345;77342;77356	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3523	0	0
ENSMUSG00000111277.2	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	82024;82024;82615;82615;83305;83305;84065;84065	82251;82251;82733;82733;83429;83429;84252;84252	+;+;+;+;+;+;+;+	660	0	0
ENSMUSG00000111476.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	84816;85276;85558;86535;86887	85191;85404;85634;86705;87113	-;-;-;-;-	980	0	0
ENSMUSG00000110777.2	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	89144;89144;89294;89294;89893;89893;90713;90713;90885;90885;91085;91085;92674;92674	89206;89206;89347;89347;90045;90045;90805;90805;90959;90959;91267;91267;92796;92796	-;-;-;-;-;-;-;-;-;-;-;-;-;-	744	0	0
ENSMUSG00000110805.1	KV575240.1	92744	94385	+	1642	0	0
ENSMUSG00000111826.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	94341;95227;95513;95754;96070;96542;96749;97012;97219;97454;97998;98298;98517;98768;100821;102772	95062;95397;95584;95930;96212;96667;96929;97110;97327;97539;98196;98429;98567;98860;101517;102878	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3165	0	0
ENSMUSG00000111367.1	KV575240.1	102980	103988	+	1009	0	0
ENSMUSG00000110763.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	104282;105369;106438;106438;106705;106705;107034;107034;107313;107313;107677;107677;108065;108065;109630;109630;109865;109865;110308;110308;110679;110679;110893;110893;111526;111526;112322;112322;112735;112735;113021;113021;113472;113472;113827;113827;114033;114033;114295;114295;114892;114892;115044;115044;115371;115371;116013;116013;116162;116162;118391;122878;123065	106102;106102;106619;106619;106841;106841;107156;107156;107539;107539;107889;107889;108306;108306;109763;109763;109974;109974;110430;110430;110780;110780;111058;111058;111658;111658;112460;112460;112943;112943;113106;113106;113530;113530;113959;113959;114134;114134;114504;114504;114967;114967;115201;115201;115449;115449;116085;116085;116250;116250;118602;122967;123153	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5517	0	0
ENSMUSG00000111718.1	KV575240.1	124300	124357	+	58	0	0
ENSMUSG00000111872.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	134614;134649;135996;135996;136720;136720;137204;137204;138643;138643;139470;139470;139818;139818;140231;140231;140602;140602;141867;141867;142598;142598;143049;143049;143377;143377;145490;145847;145847;146680;146680	134783;134783;136055;136055;136834;136834;137397;137397;138779;138779;139536;139536;139943;139943;140313;140313;140839;140839;142034;142034;142732;142732;143204;143204;143511;143511;145586;145928;145928;147589;147589	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2873	0	0
ENSMUSG00000110906.1	KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1;KV575240.1	161294;162385;163023;163275;163609;164859;165144;165293	162159;162542;163185;163531;163711;165006;165210;165885	-;-;-;-;-;-;-;-	2355	0	0
ENSMUSG00000110961.1	KV575235.1;KV575235.1	31913;35433	32056;36578	+;+	1290	0	0
ENSMUSG00000118567.1	KV575235.1;KV575235.1;KV575235.1;KV575235.1	37826;38384;38900;39149	38136;38444;38957;39251	-;-;-;-	533	0	0
ENSMUSG00000111727.1	KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1	40689;44437;44690;48416;48900;50476;50637	40930;44556;44815;48565;48997;50541;50880	-;-;-;-;-;-;-	1046	0	0
ENSMUSG00000111688.1	KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1	50793;50796;51719;51719;53598;53598;55070;55070	50865;50962;52336;52336;53704;53704;56614;56614	+;+;+;+;+;+;+;+	2440	0	0
ENSMUSG00000110860.2	KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1;KV575235.1	57241;57241;60037;60037;63482;63482;63663;63663	57372;57372;60228;60228;63562;63562;64040;64040	-;-;-;-;-;-;-;-	783	0	0
ENSMUSG00000111026.1	KV575235.1;KV575235.1	63696;63765	63761;63968	+;+	270	0	0
